cycle,ts,dopamine,serotonin,glutamate,gaba,noradrenaline,acetylcholine,histamine,orexin,bdnf,adenosine,endocannabinoid_2ag,cortisol,exploration_bias,plasticity_level,adaptive_threshold,survivors,participated,weakened,effectiveness,reciprocal_gate,allostatic_load
1,1783770582,0.354736,0.339994,0.688485,0.492555,0.847607,0.508016,0.4401,0.8504,0.8895,0.599864,1e-06,0.1423778204109197,0.8161595861508478,0.931708556518154,0.8510211613678372,12.0,93.0,81.0,0.003550262016274738,0.3402091044888736,0.08701533413905825
2,1783770586,0.35132,0.338115,0.689026,0.49262,0.84761,0.508253,0.44,0.8503,0.8889,0.600071,1e-06,0.1423778204109197,0.8171439465082534,0.9324450408956279,0.8631888406543012,15.0,95.0,80.0,-0.0031430531132401384,0.33996739314221147,0.08701533413905825
3,1783770589,0.352024,0.338502,0.688919,0.492609,0.847614,0.508197,0.44,0.8501,0.8877,0.600289,1e-06,0.1423778204109197,0.8169507920465177,0.9322984039135989,0.8389666100621571,17.0,89.0,72.0,0.0006540121086968494,0.3396858551995481,0.08701533413905825
4,1783770593,0.352878,0.338972,0.688789,0.492594,0.847618,0.50813,0.4399,0.85,0.8873,0.600291,1e-06,0.1423778204109197,0.8167151225018268,0.9321198951921047,0.8729769564964261,15.0,91.0,76.0,0.0007910724618878648,0.3396390186396836,0.08701533413905825
5,1783770597,0.353932,0.339552,0.688628,0.492576,0.847621,0.508049,0.4399,0.8498,0.8889,0.600317,1e-06,0.1423778204109197,0.8164219520964848,0.9318982752187553,0.8575833039910199,13.0,93.0,80.0,0.0009766135038497914,0.3395769530477785,0.08701533413905825
6,1783770600,0.348722,0.336686,0.689451,0.492676,0.847625,0.508415,0.44,0.8497,0.89,0.599724,1e-06,0.1423778204109197,0.8179187749836373,0.9330191644322148,0.860046596633903,14.0,91.0,77.0,-0.004793164942619976,0.3402514471334449,0.08701533413905825
7,1783770604,0.347381,0.335948,0.689666,0.492702,0.847629,0.508505,0.4406,0.8496,0.8908,0.596757,1e-06,0.1423778204109197,0.818309836914213,0.9333107469723495,0.8567922187690471,14.0,94.0,80.0,-0.0012297174605538851,0.3438095529934115,0.08701533413905825
8,1783770608,0.350647,0.337745,0.689158,0.492642,0.847632,0.508265,0.4409,0.8496,0.8939,0.597389,1e-06,0.1423778204109197,0.8173845931260847,0.9326151140970396,0.8550755747961736,14.0,97.0,83.0,0.0030128944837742866,0.3434775670953881,0.08701533413905825
9,1783770611,0.351446,0.338184,0.689036,0.492629,0.847636,0.508203,0.441,0.8495,0.8986,0.597844,1e-06,0.1423778204109197,0.8171642113998884,0.9324481414739871,0.8636330103169414,13.0,96.0,83.0,0.0007402299337956165,0.3431506769667716,0.08701533413905825
10,1783770615,0.354724,0.339987,0.688524,0.492568,0.847639,0.507963,0.441,0.8494,0.9059,0.598303,1e-06,0.1423778204109197,0.8162353716148347,0.9317498388475194,0.8494466445977489,12.0,90.0,78.0,0.0030274514545473455,0.3426987338767401,0.08701533413905825
11,1783770618,0.351696,0.338321,0.689005,0.492627,0.847642,0.508173,0.441,0.8492,0.9125,0.598558,1e-06,0.1423778204109197,0.817108288137846,0.9324028668303885,0.8641114532077872,15.0,93.0,78.0,-0.002786198175056622,0.34240277371371797,0.08701533413905825
12,1783770622,0.352742,0.338897,0.688844,0.492609,0.847646,0.508093,0.4409,0.8491,0.9171,0.598821,1e-06,0.1423778204109197,0.8168169773793609,0.9321827375705712,0.8536558648220073,15.0,93.0,78.0,0.0009686152400766106,0.3420637615996025,0.08701533413905825
13,1783770626,0.353075,0.33908,0.688796,0.492604,0.847649,0.508063,0.4408,0.849,0.9182,0.598844,1e-06,0.1423778204109197,0.8167294829602395,0.932115483626397,0.8704480310109991,18.0,86.0,68.0,0.00031089228097680444,0.3419834131197217,0.08701533413905825
14,1783770630,0.352987,0.339032,0.688814,0.492607,0.847653,0.508064,0.4407,0.8488,0.9186,0.599107,1e-06,0.1423778204109197,0.8167622335453233,0.932138426341668,0.8556803788294001,13.0,99.0,86.0,-7.728513109984467e-05,0.3416329291838052,0.08701533413905825
15,1783770634,0.355178,0.340237,0.688474,0.492567,0.847656,0.507902,0.4407,0.8487,0.9145,0.599045,1e-06,0.1423778204109197,0.8161437366770069,0.9316729462207884,0.8481097239041283,10.0,90.0,80.0,0.0020248332466628067,0.34164485042866355,0.08701533413905825
16,1783770639,0.353121,0.339105,0.688801,0.492608,0.847659,0.508043,0.4406,0.8485,0.9099,0.599104,1e-06,0.1423778204109197,0.8167388295532284,0.9321176710122103,0.8651040965034026,17.0,91.0,74.0,-0.0018920760483884275,0.34154017530006453,0.08701533413905825
17,1783770643,0.353944,0.339558,0.688675,0.492594,0.847663,0.507979,0.4406,0.8484,0.9066,0.599064,1e-06,0.1423778204109197,0.8165109188610253,0.9319451555835531,0.8750983761906996,14.0,93.0,79.0,0.0007632226955406206,0.34155540271004514,0.08701533413905825
18,1783770647,0.352516,0.338772,0.688904,0.492622,0.847666,0.508076,0.4406,0.8482,0.904,0.599336,1e-06,0.1423778204109197,0.8169263896656326,0.9322551885883819,0.85880605268318,13.0,96.0,83.0,-0.001312755803937257,0.34121710189703164,0.08701533413905825
19,1783770651,0.356654,0.341049,0.688257,0.492546,0.847669,0.507775,0.4405,0.8481,0.9021,0.599515,1e-06,0.1423778204109197,0.8157512511329159,0.9313722767579877,0.859136607383261,16.0,94.0,78.0,0.0038225253032076007,0.34095947132792204,0.08701533413905825
20,1783770656,0.357879,0.341723,0.688069,0.492524,0.847672,0.507682,0.4404,0.8479,0.9008,0.599606,1e-06,0.1423778204109197,0.8154082830295686,0.9311135047764921,0.8430731959273874,12.0,90.0,78.0,0.0011351316261132833,0.3407970499295454,0.08701533413905825
21,1783770660,0.35049,0.337658,0.689234,0.492665,0.847675,0.508204,0.4403,0.8478,0.8998,0.59975,1e-06,0.1423778204109197,0.8175266985010933,0.9327007823642901,0.8573564931793627,14.0,98.0,84.0,-0.006803016973109516,0.34057713495068176,0.08701533413905825
22,1783770664,0.35608,0.340733,0.688359,0.492561,0.847679,0.5078,0.4403,0.8476,0.898,0.599712,1e-06,0.1423778204109197,0.8159365245164317,0.9315066296114823,0.8543221391323591,12.0,90.0,78.0,0.005161478937830509,0.34056883446547714,0.08701533413905825
23,1783770668,0.354331,0.339771,0.688638,0.492595,0.847682,0.507919,0.4402,0.8475,0.8981,0.600053,1e-06,0.1423778204109197,0.8164433514237162,0.9318852391446468,0.8546502169835607,17.0,91.0,74.0,-0.0016093209258462794,0.34013404412583403,0.08701533413905825
