# ============================================================
# DRIFT-REPORT  (Zyklen: 1344)
# ============================================================
# Signal                  first     last    delta     span  Urteil
# dopamine               0.2500   0.2500   0.0000   0.0000  stabil
# serotonin              0.2885   0.2885   0.0000   0.0000  stabil
# glutamate              0.5270   0.5270   0.0000   0.0000  stabil
# gaba                   0.3890   0.3890   0.0000   0.0000  stabil
# noradrenaline          0.7000   0.7000   0.0000   0.0000  stabil
# acetylcholine          0.7625   0.7625   0.0000   0.0000  stabil
# histamine              0.4371   0.4375   0.0004   0.0173  stabil
# orexin                 0.2380   0.2383   0.0003   0.0015  stabil
# bdnf                   0.6675   0.6633  -0.0042   0.0551  stabil
# adenosine              0.6065   0.6406   0.0342   0.0967  stabil
# endocannabinoid_2ag    0.0000   0.0000   0.0000   0.0000  stabil
# cortisol               0.0566   0.0261  -0.0305   0.0879  stabil
# exploration_bias       0.5000   0.5000   0.0000   0.0000  stabil
# plasticity_level       0.7800   0.7800   0.0000   0.0000  stabil
# adaptive_threshold     0.5272   0.5671   0.0399   0.2015  stabil
# survivors             20.0000  23.0000   3.0000  13.0000  konvergiert
# participated          91.0000  88.0000  -3.0000  23.0000  stabil
# weakened              71.0000  65.0000  -6.0000  29.0000  stabil
# effectiveness          0.0000   0.0000   0.0000   0.0000  stabil
# reciprocal_gate        0.3306   0.2969  -0.0337   0.1136  stabil
# allostatic_load        0.0000   0.0337   0.0337   0.1844  stabil
# ------------------------------------------------------------
# GESAMT: konvergenz
# ============================================================

cycle,ts,dopamine,serotonin,glutamate,gaba,noradrenaline,acetylcholine,histamine,orexin,bdnf,adenosine,endocannabinoid_2ag,cortisol,exploration_bias,plasticity_level,adaptive_threshold,survivors,participated,weakened,effectiveness,reciprocal_gate,allostatic_load
1,1784896651,0.25,0.2885,0.527,0.389,0.7,0.7625,0.4371,0.238,0.6675,0.606485,1e-06,0.056585046888352815,0.5,0.78,0.5271724910144135,20.0,91.0,71.0,0.0,0.3306192457710385,0.0
2,1784896654,0.25,0.2885,0.527,0.389,0.7,0.7625,0.442,0.2381,0.6673,0.577445,1e-06,0.05991784667928571,0.5,0.78,0.5741365194990891,18.0,91.0,73.0,0.0,0.364587872039727,0.06769437952479579
3,1784896658,0.25,0.2885,0.527,0.389,0.7,0.7625,0.4499,0.2387,0.6682,0.552761,1e-06,0.041942492675499994,0.5,0.78,0.5316004153574169,21.0,92.0,71.0,0.0,0.39716503042780893,0.0
4,1784896662,0.25,0.2885,0.527,0.389,0.7,0.7625,0.4423,0.2386,0.6684,0.625623,1e-06,0.029359744872849994,0.5,0.78,0.5242347583340927,19.0,90.0,71.0,0.0,0.3167130812994662,0.0
5,1784896665,0.25,0.2885,0.527,0.389,0.7,0.7625,0.4428,0.2386,0.6687,0.593712,1e-06,0.020551821410994993,0.5,0.78,0.5518120026283684,22.0,86.0,64.0,0.0,0.34905509690962633,0.0
6,1784896669,0.25,0.2885,0.527,0.389,0.7,0.7625,0.448,0.2389,0.6692,0.566588,1e-06,0.014386274987696493,0.5,0.78,0.6039346918976486,21.0,89.0,68.0,0.0,0.3813631278367384,0.0
7,1784896672,0.25,0.2885,0.527,0.389,0.7,0.7625,0.4385,0.2385,0.6684,0.63945,1e-06,0.010070392491387544,0.5,0.78,0.5371106295332556,24.0,90.0,66.0,0.0,0.2990147894857169,0.0
8,1784896676,0.25,0.2885,0.527,0.389,0.7,0.7625,0.4379,0.2383,0.6669,0.605465,1e-06,0.007049274743971281,0.5,0.78,0.5263164993926569,18.0,83.0,65.0,0.0,0.33247665264000176,0.0
9,1784896679,0.25,0.2885,0.527,0.389,0.7,0.7625,0.4428,0.2383,0.6662,0.576578,1e-06,0.004934492320779896,0.5,0.78,0.5015928121457921,23.0,95.0,72.0,0.0,0.36619711684800116,0.0
10,1784896683,0.25,0.2885,0.527,0.389,0.7,0.7625,0.433,0.2378,0.6669,0.64944,1e-06,0.003454144624545927,0.5,0.78,0.5209490158724916,19.0,89.0,70.0,0.0,0.2836033817936008,0.0
